CLDN11,OCLN
CLDN11,CLDN3
CLDN11,CLDN2
CLDN11,TJP1
PKP2,DSC3
PKP2,CTNNA3
PKP2,DSG2
PKP2,SCN5A
PKP2,JUP
PKP2,DSP
PKP2,GJA1
PKP2,DSC2
INPP4A,RAB5A
INPP4A,INPP4B
GNA11,GNB4
GNA11,CX3CL1
GNA11,GRK2
GNA11,GNB1
GNA11,TBXA2R
GNA11,GNG3
GNA11,RGS3
GNA11,GNG2
GNA11,GNB2
GNA11,GNAQ
CREB3L3,CREBBP
CREB3L3,CRTC2
CREB3L3,CREB3L1
CREB3L3,ATF1
CREB3L3,CREB1
CREB3L3,CREB3L2
CREB3L3,ATF4
CREB3L3,EP300
CREB3L3,CREB5
CREB3L3,ATF2
CREB3L3,TAF4
CREB3L3,ATF6B
CREB3L3,CREB3
CREB3L3,HTT
CREB3L3,TAF4B
CREB3L3,CREB3L4
HDAC7,KAT5
HDAC7,FOXA1
HDAC7,NR2E1
HDAC7,NCOR2
HDAC7,FOXP3
HDAC7,NCOR1
HDAC7,EP300
HDAC7,MEF2A
HDAC7,HIF1A
MRPS35,GFM1
MRPS35,MRPL15
MRPS35,MRPL20
MRPS35,MCAT
MRPS35,MRPL36
MRPS35,MRPL44
MRPS35,MRPS9
MRPS35,HIBCH
MRPS35,MRPL11
MRPS35,MRPL53
MRPS35,MRPL9
MRPS35,MRPL58
MRPS35,ENSG00000249773
MRPS35,MRPS18C
MRPS35,MRPL34
MRPS35,MRPS16
MRPS35,MRPL52
MRPS35,RBFA
MRPS35,MRPL3
MRPS35,MRPS5
MRPS35,MRPS30
MRPS35,GADD45GIP1
MRPS35,TUFM
MRPS35,METTL15
MRPS35,MRPL40
MRPS35,MRRF
MRPS35,MRPL22
MRPS35,MRPL57
MRPS35,MRPS31
MRPS35,MRPL43
MRPS35,MRPS14
MRPS35,MRPS25
MRPS35,MRPL27
MRPS35,MRPL54
MRPS35,MRPL23
MRPS35,MRPL13
MRPS35,OXA1L
MRPS35,MRPL2
MRPS35,MRPS36
MRPS35,MRPL38
MRPS35,MRPS18A
MRPS35,MRPL37
MRPS35,MRPL41
MRPS35,RPS18
MRPS35,MRPS34
MRPS35,METTL17
MRPS35,MRPS2
MRPS35,MRPS10
MRPS35,MRPS26
MRPS35,MRPL14
MRPS35,MRPS23
MRPS35,MRPL42
MRPS35,TFB1M
MRPS35,MTIF3
MRPS35,MRPL19
MRPS35,DAP3
MRPS35,NOA1
MRPS35,AURKAIP1
